Nr [15][7];Kommunenavn;Admsenter;Fylke;Fulltadmsenter
5028;Melhus;Melhus;Trøndelag;Melhus, Melhus, Trøndelag
1505;Kristiansund;Kristiansund;Møre og Romsdal;Kristiansund, Kristiansund, Møre og Romsdal
5061;Rindal;Rindal;Trøndelag[22];Rindal, Rindal, Trøndelag[22]
1554;Averøy;Bruhagen;Møre og Romsdal;Bruhagen, Averøy, Møre og Romsdal
1560;Tingvoll;Tingvoll;Møre og Romsdal;Tingvoll, Tingvoll, Møre og Romsdal
1867;Bø;Straume;Nordland;Straume, Bø, Nordland
1566;Surnadal;Skei;Møre og Romsdal;Skei, Surnadal, Møre og Romsdal
5027;Midtre Gauldal;Støren;Trøndelag;Støren, Midtre Gauldal, Trøndelag
1557;Gjemnes;Batnfjordsøra;Møre og Romsdal;Batnfjordsøra, Gjemnes, Møre og Romsdal
1579;Hustadvika;Elnesvågen;Møre og Romsdal;Elnesvågen, Hustadvika, Møre og Romsdal
5026;Holtålen;Ålen;Trøndelag;Ålen, Holtålen, Trøndelag
5022;Rennebu;Berkåk;Trøndelag;Berkåk, Rennebu, Trøndelag
1547;Aukra;Falkhytta;Møre og Romsdal;Falkhytta, Aukra, Møre og Romsdal
1506;Molde;Molde;Møre og Romsdal;Molde, Molde, Møre og Romsdal
1563;Sunndal;Sunndalsøra;Møre og Romsdal;Sunndalsøra, Sunndal, Møre og Romsdal
5021;Oppdal;Oppdal;Trøndelag;Oppdal, Oppdal, Trøndelag
5025;Røros;Røros;Trøndelag;Røros, Røros, Trøndelag
1535;Vestnes;Vestnes;Møre og Romsdal;Vestnes, Vestnes, Møre og Romsdal
1580;Haram;Brattvåg;Møre og Romsdal;Brattvåg, Haram, Møre og Romsdal
1539;Rauma;Åndalsnes;Møre og Romsdal;Åndalsnes, Rauma, Møre og Romsdal
1532;Giske;Valderøya;Møre og Romsdal;Valderøya, Giske, Møre og Romsdal
1508;Ålesund;Ålesund;Møre og Romsdal;Ålesund, Ålesund, Møre og Romsdal
3430;Os;Os;Innlandet;Os, Os, Innlandet
1531;Sula;Langevåg;Møre og Romsdal;Langevåg, Sula, Møre og Romsdal
4626;Øygarden;Straume;Vestland;Straume, Øygarden, Vestland
3426;Tolga;Tolga;Innlandet;Tolga, Tolga, Innlandet
1517;Hareid;Hareid;Møre og Romsdal;Hareid, Hareid, Møre og Romsdal
1516;Ulstein;Ulsteinvik;Møre og Romsdal;Ulsteinvik, Ulstein, Møre og Romsdal
1578;Fjord;Sylte;Møre og Romsdal;Sylte, Fjord, Møre og Romsdal
1515;Herøy;Fosnavåg;Møre og Romsdal;Fosnavåg, Herøy, Møre og Romsdal
3427;Tynset;Tynset;Innlandet;Tynset, Tynset, Innlandet
1525;Stranda;Stranda;Møre og Romsdal;Stranda, Stranda, Møre og Romsdal
1514;Sande;Larsnes;Møre og Romsdal;Larsnes, Sande, Møre og Romsdal
1520;Ørsta;Ørsta;Møre og Romsdal;Ørsta, Ørsta, Møre og Romsdal
3432;Lesja;Lesja;Innlandet;Lesja, Lesja, Innlandet
3429;Folldal;Folldal;Innlandet;Folldal, Folldal, Innlandet
3428;Alvdal;Alvdal;Innlandet;Alvdal, Alvdal, Innlandet
1577;Volda;Volda;Møre og Romsdal;Volda, Volda, Møre og Romsdal
1511;Vanylven;Fiskåbygd;Møre og Romsdal;Fiskåbygd, Vanylven, Møre og Romsdal
3431;Dovre;Dovre;Innlandet;Dovre, Dovre, Innlandet
4649;Stad;Nordfjordeid;Vestland;Nordfjordeid, Stad, Vestland
3433;Skjåk;Bismo;Innlandet;Bismo, Skjåk, Innlandet
4651;Stryn;Stryn;Vestland;Stryn, Stryn, Vestland
3425;Engerdal;Engerdal;Innlandet;Engerdal, Engerdal, Innlandet
3435;Vågå;Vågåmo;Innlandet;Vågåmo, Vågå, Innlandet
4648;Bremanger;Svelgen;Vestland;Svelgen, Bremanger, Vestland
3434;Lom;Fossbergom;Innlandet;Fossbergom, Lom, Innlandet
3437;Sel;Otta;Innlandet;Otta, Sel, Innlandet
3424;Rendalen;Bergset;Innlandet;Bergset, Rendalen, Innlandet
4650;Gloppen;Sandane;Vestland;Sandane, Gloppen, Vestland
4602;Kinn;Florø;Vestland;Florø, Kinn, Vestland
3436;Nord-Fron;Vinstra;Innlandet;Vinstra, Nord-Fron, Innlandet
3423;Stor-Elvdal;Koppang;Innlandet;Koppang, Stor-Elvdal, Innlandet
3439;Ringebu;Vålebrua;Innlandet;Vålebrua, Ringebu, Innlandet
3438;Sør-Fron;Hundorp;Innlandet;Hundorp, Sør-Fron, Innlandet
4647;Sunnfjord;Førde;Vestland;Førde, Sunnfjord, Vestland
4644;Luster;Gaupne;Vestland;Gaupne, Luster, Vestland
4645;Askvoll;Askvoll;Vestland;Askvoll, Askvoll, Vestland
3421;Trysil;Innbygda;Innlandet;Innbygda, Trysil, Innlandet
1845;Sørfold;Straumen;Nordland;Straumen, Sørfold, Nordland
4643;Årdal;Årdalstangen;Vestland;Årdalstangen, Årdal, Vestland
3441;Gausdal;Segalstad bru;Innlandet;Segalstad bru, Gausdal, Innlandet
3440;Øyer;Tingberg;Innlandet;Tingberg, Øyer, Innlandet
4640;Sogndal;Sogndalsfjøra;Vestland;Sogndalsfjøra, Sogndal, Vestland
3422;Åmot;Rena;Innlandet;Rena, Åmot, Innlandet
3453;Øystre Slidre;Heggenes;Innlandet;Heggenes, Øystre Slidre, Innlandet
3454;Vang;Vang;Innlandet;Vang, Vang, Innlandet
4637;Hyllestad;Hyllestad;Vestland;Hyllestad, Hyllestad, Vestland
4638;Høyanger;Høyanger;Vestland;Høyanger, Høyanger, Vestland
3405;Lillehammer;Lillehammer;Innlandet;Lillehammer, Lillehammer, Innlandet
4642;Lærdal;Lærdalsøyri;Vestland;Lærdalsøyri, Lærdal, Vestland
4636;Solund;Hardbakke;Vestland;Hardbakke, Solund, Vestland
4639;Vik;Vikøyri;Vestland;Vikøyri, Vik, Vestland
3452;Vestre Slidre;Slidre;Innlandet;Slidre, Vestre Slidre, Innlandet
3450;Etnedal;Bruflat;Innlandet;Bruflat, Etnedal, Innlandet
3411;Ringsaker;Brumunddal;Innlandet;Brumunddal, Ringsaker, Innlandet
4635;Gulen;Eivindvik;Vestland;Eivindvik, Gulen, Vestland
3451;Nord-Aurdal;Fagernes;Innlandet;Fagernes, Nord-Aurdal, Innlandet
3448;Nordre Land;Dokka;Innlandet;Dokka, Nordre Land, Innlandet
3420;Elverum;Elverum;Innlandet;Elverum, Elverum, Innlandet
4641;Aurland;Aurlandsvangen;Vestland;Aurlandsvangen, Aurland, Vestland
3326;Hemsedal;Trøim;Buskerud;Trøim, Hemsedal, Buskerud
3412;Løten;Løten;Innlandet;Løten, Løten, Innlandet
4634;Masfjorden;Masfjordnes;Vestland;Masfjordnes, Masfjorden, Vestland
4629;Modalen;Mo;Vestland;Mo, Modalen, Vestland
3407;Gjøvik;Gjøvik;Innlandet;Gjøvik, Gjøvik, Innlandet
