Nr [15][7];Kommunenavn;Admsenter;Fylke;Fulltadmsenter;lat;lng
5033;Tydal;Ås;Trøndelag;Ås, Tydal, Trøndelag;63.04488509999999;11.6569987
3214;Frogn;Drøbak;Akershus;Drøbak, Frogn, Akershus;59.6633327;10.6307414
1135;Sauda;Sauda;Rogaland;Sauda, Sauda, Rogaland;59.6507178;6.3541435
3303;Kongsberg;Kongsberg;Buskerud;Kongsberg, Kongsberg, Buskerud;59.6721147;9.6460432
3118;Indre Østfold;Askim;Østfold;Askim, Indre Østfold, Østfold;59.5834589;11.1629005
4005;Notodden;Notodden;Telemark;Notodden, Notodden, Telemark;59.5592778;9.2628376
4612;Sveio;Sveio;Vestland;Sveio, Sveio, Vestland;59.54350889999999;5.353107899999999
3216;Vestby;Vestby;Akershus;Vestby, Vestby, Akershus;59.6024843;10.7468662
1160;Vindafjord;Ølensjøen;Rogaland;Ølensjøen, Vindafjord, Rogaland;59.60436839999999;5.808004599999999
3903;Holmestrand;Holmestrand;Vestfold;Holmestrand, Holmestrand, Vestfold;59.4899189;10.315035
4022;Seljord;Seljord;Telemark;Seljord, Seljord, Telemark;59.4836751;8.6269273
4222;Bykle;Bykle;Agder;Bykle, Bykle, Agder;59.3568873;7.357461499999999
3122;Marker;Ørje;Østfold;Ørje, Marker, Østfold;59.4805101;11.6602541
3116;Skiptvet;Meieribyen;Østfold;Meieribyen, Skiptvet, Østfold;59.4746308;11.1611342
